ID ing. Serial |ID msj   |Serial|Estado|Cod. Operacion|NMU|Cod. Deposito|Errores |Fecha Modifi.|Usuario |
21361303|47995722|101891000043491|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361305|47995722|101891000043492|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361307|47995722|101891000043493|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361309|47995722|101891000043494|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361311|47995722|101891000043495|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361313|47995722|101891000043496|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361315|47995722|101891000043497|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361317|47995722|101891000043498|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361319|47995722|101891000043499|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361321|47995722|101891000043500|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361323|47995722|101891000043501|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361325|47995722|101891000043502|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361327|47995722|101891000043503|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361329|47995722|101891000043504|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361331|47995722|101891000043505|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361333|47995722|101891000043506|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361335|47995722|101891000043507|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361337|47995722|101891000043508|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361339|47995722|101891000043509|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361341|47995722|101891000043510|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361343|47995722|101891000043511|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361345|47995722|101891000043512|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361347|47995722|101891000043513|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361349|47995722|101891000043514|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361350|47995722|101891000043515|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361352|47995722|101891000043516|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361354|47995722|101891000043517|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361355|47995722|101891000043518|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361356|47995722|101891000043519|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361357|47995722|101891000043520|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361358|47995722|101891000043521|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361359|47995722|101891000043522|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361360|47995722|101891000043523|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361361|47995722|101891000043524|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361362|47995722|101891000043525|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361363|47995722|101891000043526|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361364|47995722|101891000043527|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361365|47995722|101891000043528|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361366|47995722|101891000043529|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361367|47995722|101891000043530|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361368|47995722|101891000043531|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361369|47995722|101891000043532|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361370|47995722|101891000043533|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361371|47995722|101891000043534|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361372|47995722|101891000043535|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361373|47995722|101891000043536|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361374|47995722|101891000043537|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361375|47995722|101891000043538|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361376|47995722|101891000043539|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361377|47995722|101891000043540|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361378|47995722|101891000043541|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361379|47995722|101891000043542|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361380|47995722|101891000043543|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361381|47995722|101891000043544|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361382|47995722|101891000043545|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361383|47995722|101891000043546|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361384|47995722|101891000043547|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361385|47995722|101891000043548|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361386|47995722|101891000043549|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361387|47995722|101891000043550|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361388|47995722|101891000043551|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361389|47995722|101891000043552|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361390|47995722|101891000043553|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361391|47995722|101891000043554|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361392|47995722|101891000043555|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361393|47995722|101891000043556|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361394|47995722|101891000043557|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361395|47995722|101891000043558|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361396|47995722|101891000043559|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361397|47995722|101891000043560|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361398|47995722|101891000043561|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361399|47995722|101891000043562|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361400|47995722|101891000043563|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361401|47995722|101891000043564|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361402|47995722|101891000043565|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361403|47995722|101891000043566|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361404|47995722|101891000043567|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361405|47995722|101891000043568|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361406|47995722|101891000043569|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361407|47995722|101891000043570|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361408|47995722|101891000043571|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361409|47995722|101891000043572|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361410|47995722|101891000043573|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361411|47995722|101891000043574|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361412|47995722|101891000043575|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361413|47995722|101891000043576|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361414|47995722|101891000043577|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361415|47995722|101891000043578|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361416|47995722|101891000043579|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361417|47995722|101891000043580|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361418|47995722|101891000043581|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361419|47995722|101891000043582|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361420|47995722|101891000043583|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361421|47995722|101891000043584|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361422|47995722|101891000043585|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361423|47995722|101891000043586|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361424|47995722|101891000043587|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361425|47995722|101891000043588|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361426|47995722|101891000043589|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361427|47995722|101891000043590|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361428|47995722|101891000043591|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361429|47995722|101891000043592|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361430|47995722|101891000043593|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361431|47995722|101891000043594|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361432|47995722|101891000043595|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361433|47995722|101891000043596|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361434|47995722|101891000043597|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
21361435|47995722|101891000043598|Cerrado|ING|PSG911PGN|CA0140001||20/01/2023 04:56:09 p.m.|SISTEMA EXTERNO|
